Ticker,Security_Name,GICS_Sector,GICS_Industry,Alpha_Score,Alpha_Quintile,Model_ID,Model_Name,As_Of_Date,Alpha_Confidence,Expected_Return_1M_Pct,Expected_Return_3M_Pct,Signal_Strength
NVDA,Nvidia,Information Technology,Semiconductors,0.6159762268514649,2,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6155357202597991,0.9165817517201164,2.540722213513437,Strong
AAPL,Apple Inc.,Information Technology,Technology Hardware,0.49450917499566066,3,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6972377254736071,1.4252951086100654,0.7368308282177082,Neutral
MSFT,Microsoft,Information Technology,Software,0.6190980910816681,2,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8858387614077513,1.8063002181565009,3.7793729520995396,Strong
AMZN,Amazon,Consumer Discretionary,Retail,0.29925434124069705,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6995968056170141,0.44349027717852624,1.5737374484227946,Weak
GOOGL,Alphabet Inc. (Class A),Communication Services,Media & Entertainment,0.917315552206688,1,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8863723340618865,2.417635375408652,5.454761749413299,Very Strong
GOOG,Alphabet Inc. (Class C),Communication Services,Media & Entertainment,0.2231727469423628,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.7860598126115508,0.5429173861378374,0.8081894837009221,Weak
AVGO,Broadcom,Information Technology,Semiconductors,0.7657620587066591,1,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.907951937076406,0.9763465045723405,2.746308783918174,Strong
META,Meta Platforms,Communication Services,Media & Entertainment,0.3562690138531549,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8011728439925453,0.384806009469707,0.4692899976206926,Weak
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles,0.4238710795921831,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6103838780726589,0.6975165797174843,1.4621918548059307,Neutral
BRK.B,Berkshire Hathaway,Financials,Diversified Financials,0.7260163499577003,1,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8363970726414812,1.7811882582452303,5.448766367035964,Strong
WMT,Walmart,Consumer Staples,Food & Staples Retailing,0.8593373415375234,1,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.615698748808249,2.492438749665695,3.1405220116454178,Very Strong
LLY,Lilly (Eli),Health Care,Pharmaceuticals,0.17565880950414992,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.7577089566440969,0.42315288025054854,1.1979182402501796,Very Weak
JPM,JPMorgan Chase,Financials,Banks,0.5965740524020245,2,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.9252993430655898,1.5737727679383287,4.114140831073767,Neutral
V,Visa Inc.,Financials,Diversified Financials,0.534313122567484,3,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6578213787682475,1.0727194926311467,1.930306656717293,Neutral
ORCL,Oracle Corporation,Information Technology,Software,0.2308761313210147,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.7364553235295404,0.5976273858107841,1.252253842300832,Weak
XOM,ExxonMobil,Energy,"Oil, Gas & Consumable Fuels",0.6366891540529479,2,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8554511080969673,1.566925208285683,1.0617436074563031,Strong
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.24846950335058043,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.9087904946331966,0.3584082776072208,0.4287962615925516,Weak
MA,Mastercard,Financials,Diversified Financials,0.5106921412332446,3,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8348300516598777,0.9600888439416639,0.6846357463328965,Neutral
NFLX,Netflix,Communication Services,Media & Entertainment,0.37007568296660487,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6903606389669092,0.9295867445829119,1.8752125854295003,Weak
PLTR,Palantir Technologies,Information Technology,Software,0.4295012873047008,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8361127485206756,0.26420421021144214,1.7104875209197679,Neutral
ABBV,AbbVie,Health Care,Pharmaceuticals,0.4087950884947509,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.7038546743864315,1.0302446486009411,1.9770256386785654,Neutral
COST,Costco,Consumer Staples,Food & Staples Retailing,0.6972928231422826,2,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8514502304365573,0.6587466921252115,3.240676995655734,Strong
BAC,Bank of America,Financials,Banks,0.24244413537700327,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.9339115946547641,0.4331771290527913,0.8367767650470306,Weak
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.5746880896954258,3,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8524877078872009,1.448609715613044,3.3000394077857953,Neutral
HD,Home Depot (The),Consumer Discretionary,Retailing,0.3808545028376889,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.9020081760193444,0.43209950274657993,2.403006500142736,Weak
PG,Procter & Gamble,Consumer Staples,Household Products,0.4198689226534336,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6007363451115592,0.4679517231309011,0.46286258172029016,Neutral
GE,GE Aerospace,Industrials,Aerospace & Defense,0.596175869441072,2,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8511502436560581,0.8983839733033945,1.4610458771888204,Neutral
CSCO,Cisco,Information Technology,Technology Hardware,0.3426193555227007,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8903556449028376,0.937614524584038,2.0531982497314085,Weak
CVX,Chevron Corporation,Energy,"Oil, Gas & Consumable Fuels",0.4074034961301983,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6141955581406384,0.20415272482894925,1.5099763661685923,Neutral
KO,Coca-Cola Company (The),Consumer Staples,Beverages,0.5011663308787574,3,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.9050592045508807,1.3799403135898058,2.8252688735623797,Neutral
UNH,UnitedHealth Group,Health Care,Health Care Equipment,0.24778263432629324,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.6898429799085161,0.21916809152211333,0.8495818872194966,Weak
IBM,IBM,Information Technology,IT Services,0.3844796185518935,4,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8328522356923193,1.1439098897855768,1.4361413619560948,Weak
WFC,Wells Fargo,Financials,Banks,0.5601775091574132,3,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8801242076581923,1.6172982800455438,1.1823958626931534,Neutral
CAT,Caterpillar Inc.,Industrials,Machinery,0.09109028918253245,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.8319325795707744,0.1581954097695014,0.25574665698356763,Very Weak
MS,Morgan Stanley,Financials,Diversified Financials,0.17206511756327866,5,AI_ALPHA_MODEL_V1,AI-Based Idiosyncratic Alpha Model,2025-12-05,0.63229967722564,0.3065857330740224,0.9012568341714177,Very Weak
