Constraint_Type,Constraint_Name,Benchmark_Weight_Pct,Lower_Bound_Pct,Upper_Bound_Pct,Constraint_Type_Code,Is_Hard_Constraint,Penalty_Coefficient,Optimization_Definition_ID
Sector,Information Technology,13.096933974996192,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Consumer Discretionary,10.207965616269348,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Communication Services,6.253638897544815,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Financials,4.470337212369622,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Consumer Staples,11.346148166550954,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Health Care,9.021725442139907,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Energy,4.7753544481863806,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Industrials,33.092005552316365,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Materials,2.623991739357362,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Utilities,2.6029987879496645,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Sector,Real Estate,2.5089001623193883,-2.0,2.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN393,0.044791766709299366,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN093,0.08908626919875048,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN067,0.06939483119579128,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN340,0.08005322435256741,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,BSX,0.22815773332417422,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,UNP,0.22815773332417422,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,GS,0.4067159594039627,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN029,0.07671888389888133,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,GOOGL,3.1842883650895626,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN237,0.0368593194783469,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN274,0.07879220566166266,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,LOW,0.2182378318752971,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN055,0.08074766046211643,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN222,0.053072523660939126,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN011,0.04856857935769831,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN122,0.05298199794243391,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN010,0.08745849858946064,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN107,0.06042537041356967,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN225,0.07935114842339315,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN342,0.061873566798165844,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN021,0.07679600251370682,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN228,0.04837325232059035,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,APP,0.3670363536084542,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,WMT,1.4681454144338169,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
Stock,SYN217,0.08993787399511066,-1.0,1.0,REL,True,0,OPT_DEF_SPX_ALPHA_001
