Ticker,Security_Name,GICS_Sector,Bid_Ask_Spread_Bps,Commission_Bps,Market_Impact_Bps_Per_1M,Avg_Daily_Volume_M,Avg_Daily_Dollar_Volume_M,Liquidity_Bucket,Total_Oneway_Cost_Bps,Total_Roundtrip_Cost_Bps,Cost_Low_Urgency_Bps,Cost_Medium_Urgency_Bps,Cost_High_Urgency_Bps,Max_Participation_Rate_Pct,Days_To_Liquidate,TCost_Model_ID,Model_Name,As_Of_Date
NVDA,Nvidia,Information Technology,6.49,3.58,8.66,50.37,9236.78,5,11.16,22.32,7.81,11.16,16.74,19.38,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AAPL,Apple Inc.,Information Technology,7.72,3.28,16.06,46.57,13073.29,5,15.17,30.35,10.62,15.17,22.76,17.8,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MSFT,Microsoft,Information Technology,15.92,2.42,33.61,55.7,26783.86,5,27.19,54.38,19.03,27.19,40.79,18.64,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AMZN,Amazon,Consumer Discretionary,29.91,4.95,35.1,34.09,7810.76,5,37.45,74.9,26.21,37.45,56.17,18.16,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
GOOGL,Alphabet Inc. (Class A),Communication Services,29.34,3.42,51.91,24.35,7734.85,5,44.05,88.09,30.83,44.05,66.07,10.68,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
GOOG,Alphabet Inc. (Class C),Communication Services,30.72,1.95,47.96,22.4,7131.28,5,41.29,82.58,28.9,41.29,61.93,14.36,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AVGO,Broadcom,Information Technology,36.66,1.41,52.12,22.23,8471.42,5,45.8,91.59,32.06,45.8,68.7,13.7,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
META,Meta Platforms,Communication Services,35.61,1.61,64.26,26.0,17198.19,5,51.55,103.09,36.08,51.55,77.32,15.05,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
TSLA,"Tesla, Inc.",Consumer Discretionary,33.47,1.98,58.0,22.22,10098.64,5,47.72,95.44,33.4,47.72,71.58,13.79,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BRK.B,Berkshire Hathaway,Financials,40.84,1.64,63.58,13.02,6549.76,5,53.85,107.7,37.7,53.85,80.78,10.89,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
WMT,Walmart,Consumer Staples,39.51,1.75,54.97,11.06,1270.69,3,48.99,97.97,34.29,48.99,73.48,11.38,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
LLY,Lilly (Eli),Health Care,39.57,2.14,71.92,10.56,10709.54,5,57.88,115.76,40.52,57.88,86.82,10.42,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
JPM,JPMorgan Chase,Financials,42.19,1.69,71.89,14.88,4703.33,5,58.74,117.47,41.11,58.74,88.1,14.05,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
V,Visa Inc.,Financials,38.05,4.59,87.65,14.13,4621.23,5,67.43,134.87,47.2,67.43,101.15,11.42,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ORCL,Oracle Corporation,Information Technology,38.8,1.32,68.17,8.23,1764.12,4,54.81,109.62,38.37,54.81,82.21,15.14,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
